dataset,provider,URL,reference_year,publication_date,download_date,license,geographic_scope,industry_resolution,variables,processing_script,checksum
PxWeb table metadata 0640045E: PxWeb API GET metadata (variable codes/value labels) for 0640045E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640045E.px,,,2026-09-24,CYSTAT terms of use - reuse terms NOT verified for this release; raw files are not redistributed (re-downloaded by make ingest),Cyprus (government-controlled area),64 CPA/NACE (A*64 with CYSTAT merges),PxWeb API GET metadata (variable codes/value labels) for 0640045E,src/cvr/ingest/cystat_fetch.py -> src/cvr/ingest/cystat.py,5789ff34ae3e6391094128f16c2a14565b93b10edfd68610b2454c8af0447ec7
PxWeb table metadata 0640050E: PxWeb API GET metadata (variable codes/value labels) for 0640050E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640050E.px,,,2026-09-24,CYSTAT terms of use - reuse terms NOT verified for this release; raw files are not redistributed (re-downloaded by make ingest),Cyprus (government-controlled area),64 CPA/NACE (A*64 with CYSTAT merges),PxWeb API GET metadata (variable codes/value labels) for 0640050E,src/cvr/ingest/cystat_fetch.py -> src/cvr/ingest/cystat.py,7f81c2bf4bd88ce8eca58c5ef3de33543e7f5bcd9b0afe6ee94d4d6d25834841
PxWeb table metadata 0640055E: PxWeb API GET metadata (variable codes/value labels) for 0640055E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640055E.px,,,2026-09-24,CYSTAT terms of use - reuse terms NOT verified for this release; raw files are not redistributed (re-downloaded by make ingest),Cyprus (government-controlled area),64 CPA/NACE (A*64 with CYSTAT merges),PxWeb API GET metadata (variable codes/value labels) for 0640055E,src/cvr/ingest/cystat_fetch.py -> src/cvr/ingest/cystat.py,ddd4a55a717bd6161dfd1e28327d5c47e80cf48e2c2f5aa037e76ef829275549
"nama_10_gdp: Gross domestic product (GDP) and main components (output, expenditure and income) - annual data",Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/nama_10_gdp/.CP_MEUR+CLV20_MEUR..CY/?format=SDMX-CSV&compressed=false&startPeriod=2010,see filters,2026-09-21,2026-09-24,"Eurostat reuse policy (CC BY 4.0), Commission Decision 2011/833/EU",Cyprus (reporter); partners as listed,NACE aggregates / none,"{'geo': ['CY'], 'unit': ['CP_MEUR', 'CLV20_MEUR'], 'startPeriod': 2010, 'endPeriod': None}",src/cvr/ingest/eurostat.py,bd49aee9f0e81f340f9c796f536c492484c036fc96e266d134c177873a670522
"nama_10_gdp: Gross domestic product (GDP) and main components (output, expenditure and income) - annual data",Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/nama_10_gdp/.CP_MEUR+CLV20_MEUR..EU27_2020/?format=SDMX-CSV&compressed=false&startPeriod=2010,see filters,2026-09-21,2026-09-24,"Eurostat reuse policy (CC BY 4.0), Commission Decision 2011/833/EU",Cyprus (reporter); partners as listed,NACE aggregates / none,"{'geo': ['EU27_2020'], 'unit': ['CP_MEUR', 'CLV20_MEUR'], 'startPeriod': 2010, 'endPeriod': None}",src/cvr/ingest/eurostat.py,4fd27f42ae07b9b14bacfe41c6fa11c340658d936c0c6b64193e19101ce76cb5
nama_10_pp: Gross national income (GNI) per capita,Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/nama_10_pp/..CY/?format=SDMX-CSV&compressed=false,see filters,2026-01-05,2026-09-24,"Eurostat reuse policy (CC BY 4.0), Commission Decision 2011/833/EU",Cyprus (reporter); partners as listed,NACE aggregates / none,"{'geo': ['CY'], 'startPeriod': None, 'endPeriod': None}",src/cvr/ingest/eurostat.py,4595fd6ca566f13ae47165c927e3fddce41313d2642127cdcf2a84158ea0f04d
nasa_10_nf_tr: Non-financial transactions - annual data,Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/nasa_10_nf_tr/.CP_MEUR...S1+S11+S12+S13+S14_S15+S2.CY/?format=SDMX-CSV&compressed=false&startPeriod=2010,see filters,2026-07-27,2026-09-24,"Eurostat reuse policy (CC BY 4.0), Commission Decision 2011/833/EU",Cyprus (reporter); partners as listed,NACE aggregates / none,"{'geo': ['CY'], 'sector': ['S1', 'S11', 'S12', 'S13', 'S14_S15', 'S2'], 'unit': ['CP_MEUR'], 'startPeriod': 2010, 'endPeriod': None}",src/cvr/ingest/eurostat.py,cf3e3d05455206d3aced111275515fe22f17334e24e5690636985d44fde28ef5
nasa_10_nf_tr: Non-financial transactions - annual data,Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/nasa_10_nf_tr/.CP_MEUR...S1+S11+S12+S13+S14_S15+S2.EU27_2020/?format=SDMX-CSV&compressed=false&startPeriod=2010,see filters,2026-07-27,2026-09-24,"Eurostat reuse policy (CC BY 4.0), Commission Decision 2011/833/EU",Cyprus (reporter); partners as listed,NACE aggregates / none,"{'geo': ['EU27_2020'], 'sector': ['S1', 'S11', 'S12', 'S13', 'S14_S15', 'S2'], 'unit': ['CP_MEUR'], 'startPeriod': 2010, 'endPeriod': None}",src/cvr/ingest/eurostat.py,86546cde1a0f02f1941865625f93ffb56c06eba8ca3b43a81c99610ac88d2f2e
nama_10_a64: Gross value added and income by detailed industry (NACE Rev.2 ),Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/nama_10_a64/.CP_MEUR+CLV20_MEUR...CY/?format=SDMX-CSV&compressed=false&startPeriod=2010,see filters,2026-09-23,2026-09-24,"Eurostat reuse policy (CC BY 4.0), Commission Decision 2011/833/EU",Cyprus (reporter); partners as listed,A64,"{'geo': ['CY'], 'unit': ['CP_MEUR', 'CLV20_MEUR'], 'startPeriod': 2010, 'endPeriod': None}",src/cvr/ingest/eurostat.py,bd62265ea4088780c9ae256147243834cb30f87dc633059828ec4ff9184e26a2
nama_10_a64_e: Employment by detailed industry (NACE Rev.2) - national accounts,Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/nama_10_a64_e/.THS_PER+THS_HW..EMP_DC+SAL_DC+SELF_DC.CY/?format=SDMX-CSV&compressed=false&startPeriod=2010,see filters,2026-09-23,2026-09-24,"Eurostat reuse policy (CC BY 4.0), Commission Decision 2011/833/EU",Cyprus (reporter); partners as listed,A64,"{'geo': ['CY'], 'na_item': ['EMP_DC', 'SAL_DC', 'SELF_DC'], 'unit': ['THS_PER', 'THS_HW'], 'startPeriod': 2010, 'endPeriod': None}",src/cvr/ingest/eurostat.py,82ef2571f9d8011f4ed412d5682731d179ffa0792c5904ea4409e4660bb68b94
naio_10_cp15: Supply table at basic prices incl. transformation into purchasers' prices,Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/naio_10_cp15/.MIO_EUR....CY/?format=SDMX-CSV&compressed=false,see filters,2026-09-21,2026-09-24,"Eurostat reuse policy (CC BY 4.0), Commission Decision 2011/833/EU",Cyprus (reporter); partners as listed,NACE aggregates / none,"{'geo': ['CY'], 'unit': ['MIO_EUR'], 'startPeriod': None, 'endPeriod': None}",src/cvr/ingest/eurostat.py,4e4b5bb8cab7d776c10bcbb09bea8feecc476491848360217589b130458ae4fa
naio_10_cp16: Use table at purchasers' prices,Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/naio_10_cp16/.MIO_EUR....CY/?format=SDMX-CSV&compressed=false,see filters,2026-09-21,2026-09-24,"Eurostat reuse policy (CC BY 4.0), Commission Decision 2011/833/EU",Cyprus (reporter); partners as listed,NACE aggregates / none,"{'geo': ['CY'], 'unit': ['MIO_EUR'], 'startPeriod': None, 'endPeriod': None}",src/cvr/ingest/eurostat.py,d8d0f660d61a4513b12162fcee5a4a6a852ce278290761c428676e3005b66363
naio_10_cp1610: Use table at basic prices,Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/naio_10_cp1610/.MIO_EUR....CY/?format=SDMX-CSV&compressed=false,see filters,2026-09-17,2026-09-24,"Eurostat reuse policy (CC BY 4.0), Commission Decision 2011/833/EU",Cyprus (reporter); partners as listed,NACE aggregates / none,"{'geo': ['CY'], 'unit': ['MIO_EUR'], 'startPeriod': None, 'endPeriod': None}",src/cvr/ingest/eurostat.py,0ad3ce973bd6b46371d87466e36a55168e47c0c132870c0866078b6c9fcb8d90
naio_10_cp1620: Table of trade and transport margins,Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/naio_10_cp1620/.MIO_EUR....CY/?format=SDMX-CSV&compressed=false,see filters,2026-09-17,2026-09-24,"Eurostat reuse policy (CC BY 4.0), Commission Decision 2011/833/EU",Cyprus (reporter); partners as listed,NACE aggregates / none,"{'geo': ['CY'], 'unit': ['MIO_EUR'], 'startPeriod': None, 'endPeriod': None}",src/cvr/ingest/eurostat.py,3e1f9a1e5862c3fb389c3f61e9f7e60a23ddcf7eac4fe55a2f8c3b06e43f2333
naio_10_cp1630: Table of taxes less subsidies on product,Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/naio_10_cp1630/.MIO_EUR....CY/?format=SDMX-CSV&compressed=false,see filters,2026-09-17,2026-09-24,"Eurostat reuse policy (CC BY 4.0), Commission Decision 2011/833/EU",Cyprus (reporter); partners as listed,NACE aggregates / none,"{'geo': ['CY'], 'unit': ['MIO_EUR'], 'startPeriod': None, 'endPeriod': None}",src/cvr/ingest/eurostat.py,ad8734439141b9ed9f3971104934ab24f2f45452a4719db7991c21e3844c4b25
naio_10_cp1700: Symmetric input-output table at basic prices (product by product),Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/naio_10_cp1700/.MIO_EUR....CY/?format=SDMX-CSV&compressed=false,see filters,2026-08-25,2026-09-24,"Eurostat reuse policy (CC BY 4.0), Commission Decision 2011/833/EU",Cyprus (reporter); partners as listed,NACE aggregates / none,"{'geo': ['CY'], 'unit': ['MIO_EUR'], 'startPeriod': None, 'endPeriod': None}",src/cvr/ingest/eurostat.py,615808e40056359ec326c70599ab5d8a91266ae97909e3415740bbf3d7707001
bop_c6_a: Balance of payments by country - annual data (BPM6),Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/bop_c6_a/.MIO_EUR.CA+IN1+IN2+D1+D4P__F+D4P__D__F+D4S__D__F5+D42S__D__F5+D43S__D__F5+D4Q__D__FL+D41__D__FLA+D4P__P__F+D4S__P__F5+D42__P__F51+D443__P__F52+D41__P__F3+D4P__O__F+D41__O__FLA+D44P__O__F6+D4P__R__F+D4O+D2+D3+D45.S1.S1.CRE+DEB+BAL..CY/?format=SDMX-CSV&compressed=false&startPeriod=2010,see filters,2026-07-08,2026-09-24,"Eurostat reuse policy (CC BY 4.0), Commission Decision 2011/833/EU",Cyprus (reporter); partners as listed,NACE aggregates / none,"{'bop_item': ['CA', 'IN1', 'IN2', 'D1', 'D4P__F', 'D4P__D__F', 'D4S__D__F5', 'D42S__D__F5', 'D43S__D__F5', 'D4Q__D__FL', 'D41__D__FLA', 'D4P__P__F', 'D4S__P__F5', 'D42__P__F51', 'D443__P__F52', 'D41__P__F3', 'D4P__O__F', 'D41__O__FLA', 'D44P__O__F6', 'D4P__R__F', 'D4O', 'D2', 'D3', 'D45'], 'currency': ['MIO_EUR'], 'geo': ['CY'], 'sector10': ['S1'], 'sectpart': ['S1'], 'stk_flow': ['CRE', 'DEB', 'BAL'], 'startPeriod': 2010, 'endPeriod': None}",src/cvr/ingest/eurostat.py,e15908f2053046a507f7e52cc5307c0e686152667fc49cde8e3a2307c27ddbb9
bop_c6_a: Balance of payments by country - annual data (BPM6),Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/bop_c6_a/.MIO_EUR.CA+IN1+IN2+D1+D4P__F+D4P__D__F+D4S__D__F5+D42S__D__F5+D43S__D__F5+D4Q__D__FL+D41__D__FLA+D4P__P__F+D4S__P__F5+D42__P__F51+D443__P__F52+D41__P__F3+D4P__O__F+D41__O__FLA+D44P__O__F6+D4P__R__F+D4O+D2+D3+D45...CRE+DEB+BAL.WRL_REST+EU27_2020+EXT_EU27_2020.CY/?format=SDMX-CSV&compressed=false&startPeriod=2010,see filters,2026-07-08,2026-09-24,"Eurostat reuse policy (CC BY 4.0), Commission Decision 2011/833/EU",Cyprus (reporter); partners as listed,NACE aggregates / none,"{'bop_item': ['CA', 'IN1', 'IN2', 'D1', 'D4P__F', 'D4P__D__F', 'D4S__D__F5', 'D42S__D__F5', 'D43S__D__F5', 'D4Q__D__FL', 'D41__D__FLA', 'D4P__P__F', 'D4S__P__F5', 'D42__P__F51', 'D443__P__F52', 'D41__P__F3', 'D4P__O__F', 'D41__O__FLA', 'D44P__O__F6', 'D4P__R__F', 'D4O', 'D2', 'D3', 'D45'], 'currency': ['MIO_EUR'], 'geo': ['CY'], 'partner': ['WRL_REST', 'EU27_2020', 'EXT_EU27_2020'], 'stk_flow': ['CRE', 'DEB', 'BAL'], 'startPeriod': 2010, 'endPeriod': None}",src/cvr/ingest/eurostat.py,769f2809aca306c837817a9476bd12f0d06bbe2b99e2096b1fbe21e2159a9556
bop_rem6: Personal transfers and compensation of employees,Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/bop_rem6/.MIO_EUR....CY/?format=SDMX-CSV&compressed=false&startPeriod=2010,see filters,2025-12-15,2026-09-24,"Eurostat reuse policy (CC BY 4.0), Commission Decision 2011/833/EU",Cyprus (reporter); partners as listed,NACE aggregates / none,"{'currency': ['MIO_EUR'], 'geo': ['CY'], 'startPeriod': 2010, 'endPeriod': None}",src/cvr/ingest/eurostat.py,ca8b7cd110fa66fe3fdf5d43b7d1c3effd0f6b07ede9154b8491b23faac3deb0
"naio_10_fcp_ii4: EU inter-country input-output table at basic prices, industry by industry (2022 and onwards)",Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/naio_10_fcp_ii4/...CY../?format=SDMX-CSV&compressed=false,see filters,2026-07-20,2026-09-24,"Eurostat reuse policy (CC BY 4.0), Commission Decision 2011/833/EU",Cyprus (reporter); partners as listed,FIGARO 64,"{'c_dest': ['CY'], 'startPeriod': None, 'endPeriod': None}",src/cvr/ingest/eurostat.py,e239127b46f118a1fe39782f0c9f6056ddc8c97ab91beaaed1f8a6a6c7323907
"bop_fdi6_inc: EU direct investment income, by country and economic activity (BPM6)",Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/bop_fdi6_inc/.MIO_EUR.FDI.....CY/?format=SDMX-CSV&compressed=false,see filters,2026-06-09,2026-09-24,"Eurostat reuse policy (CC BY 4.0), Commission Decision 2011/833/EU",Cyprus (reporter); partners as listed,NACE aggregates / none,"{'currency': ['MIO_EUR'], 'geo': ['CY'], 'nace_r2': ['FDI'], 'startPeriod': None, 'endPeriod': None}",src/cvr/ingest/eurostat.py,a8b6fb50a0688a7d8debb57505ed26ffa101246dbde3647de4d05e16a6326385
"bop_fdi6_inc: EU direct investment income, by country and economic activity (BPM6)",Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/bop_fdi6_inc/.MIO_EUR.....WRL_REST+EU27_2020+EXT_EU27_2020.CY/?format=SDMX-CSV&compressed=false,see filters,2026-06-09,2026-09-24,"Eurostat reuse policy (CC BY 4.0), Commission Decision 2011/833/EU",Cyprus (reporter); partners as listed,NACE aggregates / none,"{'currency': ['MIO_EUR'], 'geo': ['CY'], 'partner': ['WRL_REST', 'EU27_2020', 'EXT_EU27_2020'], 'startPeriod': None, 'endPeriod': None}",src/cvr/ingest/eurostat.py,970dd162a983621b31c402c62107fb543ab16c18d7b9e994fa8052906ecf882e
"bop_fdi6_geo: EU direct investment positions, flows and income, by countries (BPM6)",Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/bop_fdi6_geo/.....CY/?format=SDMX-CSV&compressed=false,see filters,2026-06-09,2026-09-24,"Eurostat reuse policy (CC BY 4.0), Commission Decision 2011/833/EU",Cyprus (reporter); partners as listed,NACE aggregates / none,"{'geo': ['CY'], 'startPeriod': None, 'endPeriod': None}",src/cvr/ingest/eurostat.py,68ed9194c5b7b5d6e03adf5cfad7dedb2b4593f89f5641591dac2f7f3640c747
"bop_fdi6_pos: EU direct investment positions by country, ultimate and immediate counterpart and economic activity (BPM6)",Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/bop_fdi6_pos/..MIO_EUR.FDI.....CY/?format=SDMX-CSV&compressed=false,see filters,2026-06-09,2026-09-24,"Eurostat reuse policy (CC BY 4.0), Commission Decision 2011/833/EU",Cyprus (reporter); partners as listed,NACE aggregates / none,"{'currency': ['MIO_EUR'], 'geo': ['CY'], 'nace_r2': ['FDI'], 'startPeriod': None, 'endPeriod': None}",src/cvr/ingest/eurostat.py,31e0e59d7e6bc36463782f01394255a629199f14bee7dad927700554bff27ec6
"bop_fdi6_pos: EU direct investment positions by country, ultimate and immediate counterpart and economic activity (BPM6)",Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/bop_fdi6_pos/..MIO_EUR.....WRL_REST+EU27_2020+EXT_EU27_2020.CY/?format=SDMX-CSV&compressed=false,see filters,2026-06-09,2026-09-24,"Eurostat reuse policy (CC BY 4.0), Commission Decision 2011/833/EU",Cyprus (reporter); partners as listed,NACE aggregates / none,"{'currency': ['MIO_EUR'], 'geo': ['CY'], 'partner': ['WRL_REST', 'EU27_2020', 'EXT_EU27_2020'], 'startPeriod': None, 'endPeriod': None}",src/cvr/ingest/eurostat.py,a37c229b74819893cf913923195751cd6666ffdd08ebf2a774f0be781a772ac6
fats_activ: Foreign controlled EU enterprises by NACE Rev. 2 activity and country of control (from 2021 onwards),Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/fats_activ/....CY/?format=SDMX-CSV&compressed=false,see filters,2026-04-07,2026-09-24,"Eurostat reuse policy (CC BY 4.0), Commission Decision 2011/833/EU",Cyprus (reporter); partners as listed,NACE aggregates / none,"{'geo': ['CY'], 'startPeriod': None, 'endPeriod': None}",src/cvr/ingest/eurostat.py,bf63cfca2110fe0851981199f5a3f405b220aba70f0862cb26af1c42aaea5bf1
fats_ctrl: Foreign controlled EU enterprises by detailed breakdown of countries of control (from 2021 onwards),Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/fats_ctrl/....CY/?format=SDMX-CSV&compressed=false,see filters,2026-04-07,2026-09-24,"Eurostat reuse policy (CC BY 4.0), Commission Decision 2011/833/EU",Cyprus (reporter); partners as listed,NACE aggregates / none,"{'geo': ['CY'], 'startPeriod': None, 'endPeriod': None}",src/cvr/ingest/eurostat.py,2810ec6a6269b43eeb071bd1ffbc83284687740506738ada94cb5d1f37efbfc0
"naio_10_fcp_ii4: EU inter-country input-output table at basic prices, industry by industry (2022 and onwards)",Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/naio_10_fcp_ii4/.....CY/?format=SDMX-CSV&compressed=false,see filters,2026-07-20,2026-09-24,"Eurostat reuse policy (CC BY 4.0), Commission Decision 2011/833/EU",Cyprus (reporter); partners as listed,FIGARO 64,"{'c_orig': ['CY'], 'startPeriod': None, 'endPeriod': None}",src/cvr/ingest/eurostat.py,7304de14bd3b798f84315c90cbfb54f17728b535c6fb687bac946d82dad985cb
fats_g1a_08: Foreign control of enterprises by economic activity and a selection of controlling countries (2008-2020),Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/fats_g1a_08/....CY/?format=SDMX-CSV&compressed=false,see filters,2023-11-03,2026-09-24,"Eurostat reuse policy (CC BY 4.0), Commission Decision 2011/833/EU",Cyprus (reporter); partners as listed,NACE aggregates / none,"{'geo': ['CY'], 'startPeriod': None, 'endPeriod': None}",src/cvr/ingest/eurostat.py,0a83063ca2c32e6bc73ec3bdbcfa10923bb062a14d1a8f97a9be222047fe48b3
fats_g1b_08: Foreign control of enterprises by controlling countries (2008-2020),Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/fats_g1b_08/....CY/?format=SDMX-CSV&compressed=false,see filters,2023-11-03,2026-09-24,"Eurostat reuse policy (CC BY 4.0), Commission Decision 2011/833/EU",Cyprus (reporter); partners as listed,NACE aggregates / none,"{'geo': ['CY'], 'startPeriod': None, 'endPeriod': None}",src/cvr/ingest/eurostat.py,b1c9a095c18e37c8ac79fc776e71367d52eac0a532471f81a1cd921fc21a75d2
lfst_r_lfe2ecomm: Employed persons commuting to work by country of work and NUTS 2 region,Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/lfst_r_lfe2ecomm/.....CY/?format=SDMX-CSV&compressed=false,see filters,2026-09-10,2026-09-24,"Eurostat reuse policy (CC BY 4.0), Commission Decision 2011/833/EU",Cyprus (reporter); partners as listed,NACE aggregates / none,"{'geo': ['CY'], 'startPeriod': None, 'endPeriod': None}",src/cvr/ingest/eurostat.py,228efa09e87355cdacec96ce683ac291ef8bbbd277e669689754587e2b5d0cf1
naio_10_fgfd: Foreign value added in domestic final use by industry of origin (FIGARO application),Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/naio_10_fgfd/....CY/?format=SDMX-CSV&compressed=false,see filters,2026-07-20,2026-09-24,"Eurostat reuse policy (CC BY 4.0), Commission Decision 2011/833/EU",Cyprus (reporter); partners as listed,FIGARO 64,"{'geo': ['CY'], 'startPeriod': None, 'endPeriod': None}",src/cvr/ingest/eurostat.py,b179e8de4b6b883870b95743929bcc15d89966c8d352b1499b47cf612e461537
naio_10_fgdf: Domestic value added in foreign final use by industry of origin (FIGARO application),Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/naio_10_fgdf/....CY/?format=SDMX-CSV&compressed=false,see filters,2026-07-20,2026-09-24,"Eurostat reuse policy (CC BY 4.0), Commission Decision 2011/833/EU",Cyprus (reporter); partners as listed,FIGARO 64,"{'geo': ['CY'], 'startPeriod': None, 'endPeriod': None}",src/cvr/ingest/eurostat.py,cf62e2983ab5219cfd35223bdde67e7602afa266f324e8cac5c5f171638163ef
naio_10_fgdm: Domestic value added in exports - EU country perspective (FIGARO application),Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/naio_10_fgdm/....CY/?format=SDMX-CSV&compressed=false,see filters,2026-07-20,2026-09-24,"Eurostat reuse policy (CC BY 4.0), Commission Decision 2011/833/EU",Cyprus (reporter); partners as listed,FIGARO 64,"{'geo': ['CY'], 'startPeriod': None, 'endPeriod': None}",src/cvr/ingest/eurostat.py,2ca1fcfce41672ac6e7439436890463518adbd9282b6897c87744089ca66f4ef
naio_10_fgfoem: Foreign value added in exports by country of origin and exporting country - EU country perspective (FIGARO application),Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/naio_10_fgfoem/.....CY/?format=SDMX-CSV&compressed=false&startPeriod=2010&endPeriod=2017 | https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/naio_10_fgfoem/.....CY/?format=SDMX-CSV&compressed=false&startPeriod=2018&endPeriod=2024,see filters,2026-07-20,2026-09-24,"Eurostat reuse policy (CC BY 4.0), Commission Decision 2011/833/EU",Cyprus (reporter); partners as listed,FIGARO 64,"{'geo': ['CY'], 'startPeriod': None, 'endPeriod': None}",src/cvr/ingest/eurostat.py,8f8bc6596395954960f83b126b95735eab7f5b36fd87a11f450e9485d5e8070f
naio_10_fgti: Imports by industry (FIGARO application),Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/naio_10_fgti/....CY/?format=SDMX-CSV&compressed=false,see filters,2026-07-20,2026-09-24,"Eurostat reuse policy (CC BY 4.0), Commission Decision 2011/833/EU",Cyprus (reporter); partners as listed,FIGARO 64,"{'geo': ['CY'], 'startPeriod': None, 'endPeriod': None}",src/cvr/ingest/eurostat.py,05e776228448c3d2c831a3762501ceb0aad868d1541cc5e80be786101d694c85
naio_10_fgte: Exports by industry (FIGARO application),Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/naio_10_fgte/....CY/?format=SDMX-CSV&compressed=false,see filters,2026-07-20,2026-09-24,"Eurostat reuse policy (CC BY 4.0), Commission Decision 2011/833/EU",Cyprus (reporter); partners as listed,FIGARO 64,"{'geo': ['CY'], 'startPeriod': None, 'endPeriod': None}",src/cvr/ingest/eurostat.py,a8f97821c37487af6e6bc0f4970890da15086a49723313670a6c773a70a55e88
naio_10_fggvcm: Global value chain participation - EU country perspective (FIGARO application),Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/naio_10_fggvcm/...CY/?format=SDMX-CSV&compressed=false,see filters,2026-07-20,2026-09-24,"Eurostat reuse policy (CC BY 4.0), Commission Decision 2011/833/EU",Cyprus (reporter); partners as listed,FIGARO 64,"{'geo': ['CY'], 'startPeriod': None, 'endPeriod': None}",src/cvr/ingest/eurostat.py,a50f81d8ebb881c63a835280052a2f9b536922155ea7570547f4e4610632de10
"naio_10_fcp_ii3: EU inter-country input-output table at basic prices, industry by industry (2018-2021)",Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/naio_10_fcp_ii3/...CY../?format=SDMX-CSV&compressed=false,see filters,2026-07-18,2026-09-24,"Eurostat reuse policy (CC BY 4.0), Commission Decision 2011/833/EU",Cyprus (reporter); partners as listed,FIGARO 64,"{'c_dest': ['CY'], 'startPeriod': None, 'endPeriod': None}",src/cvr/ingest/eurostat.py,99595b77affea111d42a1f71869e1008a2066117f66f620a67be7c2bc56a2359
"naio_10_fcp_ii3: EU inter-country input-output table at basic prices, industry by industry (2018-2021)",Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/naio_10_fcp_ii3/.....CY/?format=SDMX-CSV&compressed=false,see filters,2026-07-18,2026-09-24,"Eurostat reuse policy (CC BY 4.0), Commission Decision 2011/833/EU",Cyprus (reporter); partners as listed,FIGARO 64,"{'c_orig': ['CY'], 'startPeriod': None, 'endPeriod': None}",src/cvr/ingest/eurostat.py,2a41554cca1f4ceeb4734cca4398d88b9b9465fb4a3e1999c5f7b4e753c9fbeb
"naio_10_fcp_ii2: EU inter-country input-output table at basic prices, industry by industry (2014-2017)",Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/naio_10_fcp_ii2/...CY../?format=SDMX-CSV&compressed=false,see filters,2026-07-18,2026-09-24,"Eurostat reuse policy (CC BY 4.0), Commission Decision 2011/833/EU",Cyprus (reporter); partners as listed,FIGARO 64,"{'c_dest': ['CY'], 'startPeriod': None, 'endPeriod': None}",src/cvr/ingest/eurostat.py,cb29c8b5830c065bc9b08bda02901dcf1a9f3c7d496a820d0c1f689743bcdb81
"naio_10_fcp_ii2: EU inter-country input-output table at basic prices, industry by industry (2014-2017)",Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/naio_10_fcp_ii2/.....CY/?format=SDMX-CSV&compressed=false,see filters,2026-07-18,2026-09-24,"Eurostat reuse policy (CC BY 4.0), Commission Decision 2011/833/EU",Cyprus (reporter); partners as listed,FIGARO 64,"{'c_orig': ['CY'], 'startPeriod': None, 'endPeriod': None}",src/cvr/ingest/eurostat.py,b0b6de7c88d91cfe0f379030f923af2247082228647afcba53615b06c24bfc6d
